Year,Driver Age Group,Total,Percent of Total,In Fatal Crashes,Percent of Fatal,In Injury Crashes,Percent of Injury,In PDO Crashes,Percent of PDO
2000,Not Reported,188,2.30%,5,2.17%,66,1.63%,117,-
1999,15,21,0.27%,2,0.85%,9,0.23%,10,-
1999,16,56,0.71%,0,0.00%,31,0.80%,25,-
1999,17,115,1.46%,6,2.55%,51,1.32%,58,-
1999,18,240,3.05%,6,2.55%,115,2.98%,119,-
1999,19,273,3.47%,11,4.68%,133,3.45%,129,-
1999,20,263,3.34%,15,6.38%,131,3.40%,117,-
1999,21,394,5.01%,8,3.40%,178,4.62%,208,-
1999,22,347,4.41%,10,4.26%,182,4.72%,155,-
1999,23,306,3.89%,7,2.98%,150,3.89%,149,-
1999,24,278,3.53%,5,2%,146,3.79%,127,-
1999,25-34,"2,258",28.69%,57,24.26%,"1,132",29.36%,"1,069",-
1999,35-44,"1,762",22.39%,49,20.85%,876,22.72%,837,-
1999,45-54,886,11.26%,35,14.89%,422,10.94%,429,-
1999,55-64,318,4.04%,9,3.83%,155,4.02%,154,-
1999,65-74,133,1.69%,8,3.40%,54,1.40%,71,-
1999,75 & Older,42,0.54%,1,0.43%,15,0.39%,26,-
1999,Not Reported,179,2.27%,6,2.55%,76,1.97%,97,-
1998,15,29,0.38%,0,0.00%,13,0.34%,16,-
1998,16,47,0.61%,1,0.44%,33,0.86%,13,-
1998,17,95,1.23%,5,2.18%,52,1.36%,38,-
1998,18,209,2.71%,7,3.06%,103,2.69%,99,-
1998,19,212,2.75%,8,3.49%,115,3.01%,89,-
1998,20,244,3.16%,8,3.49%,124,3.24%,112,-
1998,21,334,4.33%,18,7.86%,148,3.87%,168,-
1998,22,313,4.05%,9,4%,162,4%,142,-
1998,23,292,3.78%,5,2.18%,152,3.97%,135,-
1998,24,323,4.18%,8,3.49%,174,4.55%,141,-
1998,25-34,"2,322",30.08%,67,29.26%,"1,169",30.57%,"1,086",-
1998,35-44,"1,769",22.92%,52,22.71%,862,22.54%,855,-
1998,45-54,804,10.42%,24,10.48%,403,10.54%,377,-
1998,55-64,317,4.11%,6,2.62%,155,4.05%,156,-
1998,65-74,161,2.09%,6,2.62%,81,2.12%,74,-
1998,75 & Older,134,1.74%,2,0.87%,41,1.07%,91,-
1998,Not Reported,114,1.47%,3,1.31%,37,0.97%,74,-
1997,15,16,0.21%,0,0%,9,0.24%,7,-
1997,16,50,0.67%,1,0.45%,23,0.61%,26,-
1997,17,102,1.37%,7,3.13%,46,1.22%,49,-
1997,18,191,2.56%,12,5.36%,99,2.63%,80,-
1997,19,216,2.90%,7,3.13%,116,3.09%,93,-
1997,20,228,3.06%,7,3.13%,118,3.14%,103,-
1997,21,337,4.52%,10,4.46%,156,4.15%,171,-
1997,22,296,3.97%,15,6.70%,133,3.54%,148,-
1997,23,302,4.05%,8,3.57%,161,4.28%,133,-
1997,24,233,3.13%,8,3.57%,155,4.12%,70,-
1997,25-34,"2,205",59.58%,63,28.13%,"1,126",29.95%,"1,016",-
1997,35-44,"1,787",23.97%,47,20.98%,932,24.79%,808,-
1997,45-54,808,10.84%,20,8.93%,409,10.88%,379,-
1997,55-64,295,3.96%,9,4.02%,154,4.10%,132,-
1997,65-74,151,2.03%,1,0.45%,75,2.00%,75,-
1997,75 & Older,237,3.18%,9,4.02%,87,2.31%,141,-
